微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwX9xkAbE,#浙江多名华侨从意大利回国#【刚刚，2架载有意大利华侨的飞机到达杭州萧山国际机场！白岩松现场连线】今晚将有多名从意大利回国的华人华侨到达杭州萧山机场。由北京飞往杭州的南航CZ6163上有6名，国航CA1706上有30多名。白岩松现场连线，萧山机场运行总监吴湘江介绍，杭州疾控中心会对整个飞机进行排查，将有症状的旅客送排查点，对有症状旅客的前三排和后三排，安排旅客留观。对无症状的旅客，测温、检查健康码后才能离开机场。对来自疫区的旅客，都送留观点留观→刚刚，2架载有意大利华侨的飞机到达杭州萧山国际机场！白岩松现场连线            [组图共8张]    原图                            ,"http://ww4.sinaimg.cn/large/6e1fdf79ly1gch65pt3x5j20rg0f4400.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gch65ptegzj20rs0fg75s.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gch65ptwhcj20rs0ffq4e.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gch65ptqp6j20rm0fbmz4.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gch65pvk00j20rf0f5taa.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gch65prlb2j20fo08qjrt.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gch65ps4roj20fs08q3yy.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gch65puvnij20fs08vgm4.jpg",无,无,2020-03-03 23:45,专业版微博,4338,80,851
IwWV05YJP,【杭州市献血服务中心呼吁：如果你也愿意为爱逆行……】自新冠肺炎疫情发生以来，无偿献血人数锐减。为保障特殊时期的临床用血需求，杭州市献血服务中心呼吁献血者在做好科学防护的前提下，可前往各献血点献血。全市各献血点将以最严密的措施做好防范工作，全力维护献血者的安全和健康。杭州市各献血点开放时间、地址及预约电话→杭州市献血服务中心呼吁：如果你也愿意为爱逆行……                原图                            ,http://wx4.sinaimg.cn/large/6e1fdf79ly1gch54iod7vj20u02ejk2a.jpg,无,无,2020-03-03 23:09,专业版微博,36,13,20
IwWQoCxYL,【无空调，有WIFI，每天200元……你愿意去浙江无人海岛看海、观鸟吗？】从2013年开始，浙江自然博物院鸟类研究团队，每年春天都会招募海岛繁殖海鸟监测员。应聘成功了，要到无人海岛上住两个多月，每天面朝大海，听着海涛，观察鸟类。今年的海鸟繁殖季节即将到来，浙江自然博物院鸟类研究团队，将在象山韭山列岛招募4名繁殖海鸟监测员，一起完成今年的监测任务。报名截止到3月20日，想报名的请戳→最诗意岗位！你愿意去无人海岛观察鸟类吗？无空调，有WIFI，每天200元            [组图共9张]    原图                            ,"http://ww3.sinaimg.cn/large/6e1fdf79ly1gch4tmip1pj20k00dbta3.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gch4tmgc3pj20k00dcmxy.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gch4tmh8qjj20k00dcaar.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gch4tmiy3kj20k00f0aay.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gch4tmh4nlj20k00ddmy3.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gch4tmimpsj20k00dc0tu.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gch4tml5vnj20k00emjru.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gch4tmm5fkj20k00f0jsr.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gch4tmmk6ij20k00b93zm.jpg",无,无,2020-03-03 22:58,专业版微博,62,29,24
IwWlPCrAs,【“你们是秦桧，我爱国！”杭州一男子醉骑闯红灯被拦后大声叫嚷，没健康码，还把口罩挂脖子上！】昨晚20时许，48岁男子康某酒后骑电动车在教工路黄姑山横路闯红灯被民警拦截查处时大声叫嚷：“这是小事，你不是岳飞，你们是秦桧，我爱国！”在核查期间，康某没有健康码，还把口罩挂在脖子上。交警：喝酒不能驾驶电动车，疫情期间，戴上口罩，遵纪守法，才是真的爱国！“你们是秦桧，我爱国！”杭州一男子醉骑闯红灯被拦截大声叫嚷，没健康码，还把口罩挂脖子上！ 都市快报的微博视频                                ,无,无,无,2020-03-03 21:43,专业版微博,18,7,11
IwWaxlCTj,【温州本科生可以七折买房，首批1700多套人才住房将于3月中旬推出】3月3日，温州市委人才办联合市人社局、市住建局发布《2020年温州市首批人才住房配售公告》，首批筹集1700多套房源，共计约18万平方米，将于本月15日启动申领。符合条件的本科生购房打7折，10年内为共有产权。温州本科生可以七折买房，首批1700多套人才住房将于3月中旬推出 [组图共2张]原图,"http://ww2.sinaimg.cn/large/6e1fdf79ly1gch1tfl04lj20k00b9tab.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gch1tfn74kj20k00obaic.jpg",无,无,2020-03-03 21:15,专业版微博,834,93,341
IwW4QvLQQ,【点赞！#杭州租房员工可获500元补贴# 】3月2日，杭州市政府新型亲清政商关系数字平台“亲清在线”正式上线！杭州企业租房的员工符合条件的可在线申请租房补贴，每人500元！企业可通过“亲清在线”政商服务平台进行统一申请，提交后将通过支付宝或银行卡打到员工个人账户。快转给你身边的杭州朋友吧@五环短视频 五环短视频的微博视频                                ,无,无,无,2020-03-03 21:01,专业版微博,127,25,235
IwVPU9FiL,【“躺在病床上，我曾想过捐献器官！”援荆第21天，邵逸夫医院医疗队迎来首位治愈出院的新冠危重病人】3月3日，邵逸夫医院医疗队迎来首位治愈出院的新冠危重病人张重生。张重生说，他曾以为自己再也见不到妻儿，甚至想过捐献器官。刚开始，张重生情况非常糟糕，双肺弥漫性病变。在浙江和荆门双方专家的努力下，治愈出院。截止目前，荆门一医北院区新冠ICU累计收治32例，超2/3为危重型，目前，已有7例转入普通病房。“躺在病床上，我曾想过捐献器官！”援荆第21天，邵逸夫医院医疗队迎来首位治愈出院的新冠危重病人            [组图共2张]    原图                            ,"http://ww2.sinaimg.cn/large/6e1fdf79ly1gch0dh39lwj20k00b03zg.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gch0dh6vsbj20k00f07a8.jpg",无,无,2020-03-03 20:24,专业版微博,58,6,16
IwVtoyPPB,【一湖北小伙在萧山被刑满释放，因为疫情无法回家，却没想到……】2月23日，因诈骗罪被判有期徒刑9个月的湖北男子邓某在萧山被刑满释放。但因疫情防控，湖北全部铁路关停，邓某无法回家。裴利钢民警四处联系辖区复工企业，帮他寻求合适岗位。最终一家快递公司接收邓某从事快递分拣工作，还为其解决食宿。民警给邓某准备了口罩和消毒用品，把他送到公司，邓某感动不已，“谢谢你们，我一定好好干，请放心！”一湖北小伙在萧山被刑满释放，因为疫情无法回家，却没想到……            [组图共3张]    原图                            ,"http://ww3.sinaimg.cn/large/6e1fdf79ly1gcgyr8br44j20k00dc49e.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gcgyr8a97yj20k00dc0za.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcgyr85hrqj20k00bat98.jpg",无,无,2020-03-03 19:28,专业版微博,81,3,8
IwVb71qxJ,【别去银行门口排队了！请转给家里老人：这种热门理财产品3月份暂停销售】3月10日是原定今年第一批储蓄国债开售的日子，但是注意了，千万别去银行扎堆。根据人行相关工作要求，为了疫情防控减少网点人员聚集，3月份储蓄国债（凭证式）已暂停发行。建设银行、邮储银行、北京银行等多家银行已发布公告，之后的发行计划也将提前另行通知。请转给家里老人：这种热门理财产品3月份暂停销售，别白跑一趟            [组图共2张]    原图                            ,"http://ww3.sinaimg.cn/large/6e1fdf79ly1gcgxgs7rnhj20ht07utax.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gcgxgs5zmej20h807p0sy.jpg",无,无,2020-03-03 18:43,专业版微博,6,0,2
IwUPgeRxI,【杭州地区首批新冠病毒防疫检测物资出口】今天（3月3日），钱江海关快速验放杭州微策生物技术有限公司申请出口的四票新型冠状病毒抗体检测试剂盒，共25260人份，总金额69450美元，目的国分别为伊拉克、立陶宛、罗马尼亚、斯洛文尼亚，试剂盒将用于新型冠状病毒初筛。据悉，这是杭州地区第一次出口该种试剂盒。杭州地区首批新冠病毒防疫检测物资出口                原图                            ,http://wx2.sinaimg.cn/large/6e1fdf79ly1gcgvx24v11j20k00dcad7.jpg,无,无,2020-03-03 17:50,微博 weibo.com,200,90,64
IwUNtpYtI,【日本奥运大臣: 已与国际奥委会达成协议奥运允许被推迟】中国体育微博3月3日消息，《每日邮报》消息，日本奥运大臣桥本圣子在当地时间3日接受采访时表示：日本与国际奥委会达成协议，允许他们推迟奥运会的举行。“如果新冠病毒蔓延无法得到控制，原本在7月底开幕的东京奥运会可能会延迟今年年底才开始。”日本奥运大臣: 已与国际奥委会达成协议奥运允许被推迟                原图                            ,http://wx1.sinaimg.cn/large/6e1fdf79ly1gcgvsgvqrwj20k008gdjw.jpg,无,无,2020-03-03 17:45,专业版微博,33,16,16
IwUvnpyIc,【疫情期间不戴口罩持刀追赶民警，一男子醉酒闹事被批捕】王某，在杭务工人员。2月14日，单身的王某又遭逢工作不顺，独自在家中喝闷酒。凌晨，喝多的他撞击了邻居几家房门没回应后，酒劲儿上来竟“气急败坏”回家拿出三把菜刀...随后王某发现有一个房间的灯亮着，便一脚将房门踹开，惊醒了在屋里睡觉的老孟。老孟果断报了警，民警赶到时王某正手持菜刀在路上走来走去。双方对峙了大约20分钟，直到增援警力赶到，王某才被制服...疫情期间不戴口罩持刀追赶民警，一男子醉酒闹事被批捕            [组图共3张]    原图                            ,"http://ww3.sinaimg.cn/large/6e1fdf79ly1gcgui03vbqg207s04du0x.gif,http://ww4.sinaimg.cn/large/6e1fdf79ly1gcgui0fdvsg20b4069hdt.gif,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcguhzd1w7g205002t4nn.gif",无,无,2020-03-03 17:01,微博 weibo.com,8,2,7
IwUqJ37nY,【必转！只要不到2分钟，就能收到杭州市政府发的500元“红包”】 昨天，杭州市政府新型亲清政商关系数字平台——“亲清在线”正式上线！在杭州租房的企业员工们，符合相应条件的可以由企业统一在网上申领租房补贴，并且实时到账！据了解，这个平台是在城市大脑的基础上，杭州政府为了随时随地服务于企业和员工而推出的，接下来还会有更多的惠企政策。以后，企业有需求在线找政府，像网上购物一样便利！大家喜欢杭州的这个做法吗？            [组图共4张]    原图                            ,"http://ww1.sinaimg.cn/large/6e1fdf79ly1gcgu55llx0j20nl0d70v5.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcgu55o9wcj20hs0v00us.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gcgu55l41jj209a07374t.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gcgu55pc8uj20dy0b1780.jpg",无,无,2020-03-03 16:49,微博 weibo.com,55,15,155
IwUgC0K93,【昨天破4000，今天破5000！韩国新冠肺炎确诊病例新增374例， 累计5186例】韩国中央防疫对策本部3日通报，截至3日下午4时，韩国新增新冠肺炎确诊病例374例，累计确诊病例达5186例。 继2日通报确诊病例超过4000例之后，韩国新冠肺炎确诊病例于3日超过5000例。昨天破4000，今天破5000！韩国新冠肺炎确诊病例新增374例， 累计5186例 原图,http://wx2.sinaimg.cn/large/6e1fdf79ly1gcgtg2sn1oj20jy08e45w.jpg,无,无,2020-03-03 16:24,微博 weibo.com,5,0,3
IwU1NifZe,【老人疑心钞票有“病毒”竟微波加热 3000多元现金面目全非】因怀疑人民币上可能沾染“新冠肺炎病毒”，近日江苏无锡江阴市的李阿姨居然把3000多元现金放进微波炉中加热消毒。还不到一分钟，微波炉就飘出了焦煳味。李阿姨慌忙取出现金，但为时已晚，纸币大部分碳化至黑色...李阿姨心痛不已到银行求帮助。柜员最后凭借手工清分数量和鉴定真伪。经过鉴别、清点、确认，银行全额为李阿姨兑换了3125元崭新的人民币。老人疑心钞票有“病毒”竟微波加热 3000多元现金面目全非            [组图共3张]    原图                            ,"http://ww1.sinaimg.cn/large/6e1fdf79ly1gcgse2a47hj20j60pkdxy.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcgse8ou7qj20j60pkqns.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gcgse27z7sj20j60gsant.jpg",无,无,2020-03-03 15:48,微博 weibo.com,64,7,14
IwU1GsUXQ,【李文亮同科室#梅仲明医生因新冠肺炎去世#】3月3日，武汉市中心医院发布公告：武汉市中心医院眼科副主任、主任医师梅仲明同志，在抗击新冠肺炎疫情工作中不幸染病，经全力抢救无效，于2020年3月3日中午12时在武汉市金银潭医院去世，享年57岁。据悉，梅仲明医生与此前去世的李文亮医生为同科室。在抗击疫情期间，武汉中心医院已有3位医生殉职，3月1日，该院医生江学庆不幸染病去世。李文亮同科室医生梅仲明不幸染病去世            [组图共2张]    原图                            ,"http://ww3.sinaimg.cn/large/6e1fdf79ly1gcgsdxeoc4j20k00e241k.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gcgsdxcm6rj20k00qogme.jpg",无,无,2020-03-03 15:47,微博 weibo.com,40,15,29
IwTXmdvtl,【3月上旬杭州唯一的晴天，可能只有这天】今天下午，淳安、建德有降雨，傍晚前后，杭州主城区预计也会下小雨。明天北方冷空气影响，杭州降雨停止转为阴天，明天下午有望见到短暂的太阳，明天气温8-12℃。周四还是冷空气的主场，继续晴冷模式，划重点：这周四很可能是3月上旬仅有的阳光灿烂的日子，气温5-12℃，提醒下各位，近期难得的“大洗之日”，可要抓紧洗晒啦！！3月上旬杭州唯一的晴天，可能只有这天                原图                            ,http://wx1.sinaimg.cn/large/6e1fdf79ly1gcgs1uw5txj20k00by74t.jpg,无,无,2020-03-03 15:37,专业版微博,9,3,3
IwTSG082m,#寻找抗疫平民英雄# 【浙江一民警雨夜在楼下与女儿聊天，女儿踮起脚尖站窗前：爸爸，你快走吧，在这里陪我聊天，你会冷的】2月28日晚上，连续工作了31天的谢丙艇，终于抽空回趟家，给妻子和女儿送口罩。当谢丙艇打开家门，正准备放下口罩转身离开时，4岁的女儿小雨突然得知爸爸回来了，哭着想要爸爸留下来。谢丙艇恐怕自己把病毒带到家里，只好安慰女儿说：“爸爸在楼下和你聊天。”爸爸离开后，小雨总以为拉开窗帘，爸爸或许还站在楼下看着她。没过5分钟，小雨就又跑去窗前寻找爸爸的身影。瑞安一民警雨夜在楼下与女儿视频聊天，女儿踮起脚尖站窗前，嘴里却赶父亲“快走”  都市快报的微博视频                                ,无,无,无,2020-03-03 15:25,微博视频,168,23,24
IwTRBys0U,【@拱墅区居民，拱墅商业综合体“餐饮套餐”点餐电话来了 ，收藏！】近日，拱墅区多家商业综合体推出——套餐形式+线上点单。这样一来，大家不仅能享用到品牌商家的美食，同时还足不出户，确保了就餐安全。@拱墅区居民，拱墅商业综合体“餐饮套餐”点餐电话来了 ，收藏！ [组图共7张]原图,"http://ww1.sinaimg.cn/large/6e1fdf79ly1gcgro0635dj20u01iee5x.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gcgro02tvbj20u01hknhh.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gcgrnzypwdj20u00ylgx4.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gcgro0ovvtj20u021tx46.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gcgro0l85fj20u01xa4qp.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gcgro1pb5xj20u0255b29.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcgro13jxsj20u03cmhdt.jpg",无,无,2020-03-03 15:23,微博 weibo.com,7,6,1
IwTpFCT0F,【上海已追踪到浙江7例境外输入型病例在沪71名密切接触者】今天上午，浙江新增的7例确诊病例均为境外（意大利）输入型病例，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在上海逗留。截至目前，上海已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。http://t.cn/RjxNF3H                原图                            ,http://wx3.sinaimg.cn/large/6e1fdf79ly1gcgpoiwegkj20jw08b101.jpg,无,无,2020-03-03 14:14,微博 weibo.com,57,7,21
IwTn6lxg6,【世界经合组织预测：受新冠肺炎疫情影响，全球经济增长率将降低一半】据世界经济合作和发展组织（OECD）美国时间周一发布的《临时经济展望》称，随着新冠肺炎疫情在全球爆发，全球经济正面临金融危机以来的最大威胁。该组织提出了两种源于新冠肺炎病毒的经济观点：一种是最佳情况，意味着对世界经济的暂时性打击；另一种则是最坏的情况，将会产生类似于多米诺骨牌的效应，对世界经济造成更广泛的影响。据经合组织预测，2020年全球GDP增长率可能会降至1.5%，是新冠肺炎疫情爆发前预测增长率的一半。世界经合组织预测：受新冠肺炎疫情影响，全球经济增长率将降低一半                原图                            ,http://wx2.sinaimg.cn/large/6e1fdf79ly1gcgphxc5gtj20qj0euh7c.jpg,无,无,2020-03-03 14:07,微博 weibo.com,7,5,3
IwSZI5Wxs,"【杭州，达摩院全球总部开建】今天，杭州拿出了48个项目参加全省扩大有效投资重大项目开工仪式，总投资达883.6亿元，仅今年就计划投资156.9亿元。这批集中开工项目是高质量，有竞争力，把握现代化导向的项目。其中阿里巴巴达摩院南湖项目位于余杭区南湖科学中心片区,规划面积约3887亩，总投资约200亿元，将建设阿里巴巴达摩院全球总部基地，计划分三期实施。项目建成后，预计年产值24.7亿元，年利税3.4亿元。杭州，达摩院全球总部开建                原图                            ",http://wx3.sinaimg.cn/large/6e1fdf79ly1gcgntz7u6hj20p00hodn8.jpg,无,无,2020-03-03 13:10,微博 weibo.com,71,12,20
IwSyn97V2,【外国人入境中国，要隔离观察吗？疫情多国蔓延，跨国旅行受限吗？权威回应来了！】外国人入境中国，要隔离观察吗？疫情多国蔓延，跨国旅行受限吗？权威回应来了！ 原图,http://wx2.sinaimg.cn/large/6e1fdf79ly1gcglvp560uj20k06u8hdw.jpg,无,无,2020-03-03 12:02,微博 weibo.com,13,7,8
IwShg61Hd,【中国工作组考察巴基斯坦蝗灾区：情况比预想还严重，蝗虫已进入交配繁殖期】肆虐东非和南亚多国的沙漠蝗虫灾害已持续数月，来自中国的蝗灾防治工作组表示：目前蝗虫正进入交配繁殖阶段，而这次蝗灾比预想得要严重。中国山东省植保总站副站长 王同伟说，巴基斯坦蝗虫比东亚飞蝗要大、要壮、要凶猛些，昨天它还咬我。巴基斯坦当地植保部门的工作人员则表示，交配产卵季节是治理蝗虫的关键节点，如果让蝗虫顺利完成繁殖，成长起来的下一代幼虫将带来更大灾害。中国工作组考察巴基斯坦蝗灾区：情况比预想还严重，蝗虫已进入交配繁殖期  都市快报的微博视频                                ,无,无,无,2020-03-03 11:20,微博视频,396,35,75
IwRSs0KG3,【浙江新增7例境外输入病例与首例王某某为密切接触者，都在意大利贝加莫同一家餐厅工作】3月3日，浙江省新增境外（意大利）输入性确诊病例7例，与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。浙江新增7例境外输入病例与首例王某某为密切接触者，都在意大利贝加莫同一家餐厅工作 原图,http://wx2.sinaimg.cn/large/6e1fdf79ly1gcgiwes4vgj20jy08e45w.jpg,无,无,2020-03-03 10:19,微博 weibo.com,26,5,20
IwRKpwNfF,【杭州“五色图”更新，全绿了！192个地区都处于低风险】杭州市乡镇（街道）疫情风险地图（3月3日）最新发布。杭州“五色图”更新，全绿了！192个地区都处于低风险 [组图共2张]原图,"http://ww1.sinaimg.cn/large/6e1fdf79ly1gcgi8mreszj216g0u0u10.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcgi8leh2qj20gy2vy1ij.jpg",无,无,2020-03-03 09:59,微博 weibo.com,33,10,13
IwRDc9Qwb,【杭州连续12天无新增，尚有105人在隔离医学观察期内】2020年3月2日0-24时，全市无新增新型冠状病毒肺炎确诊病例。无新增重症病例，治愈出院5例。全市累计报告新型冠状病毒肺炎确诊病例169例。目前无重症病例，其余病例病情均稳定。截至3月2日24时， 全市尚有105人在隔离医学观察期内。杭州连续12天无新增，尚有105人在隔离医学观察期内                原图                            ,http://wx1.sinaimg.cn/large/6e1fdf79ly1gcghl5qht8j20jy08e45w.jpg,无,无,2020-03-03 09:42,微博 weibo.com,21,9,22
IwRyOkvrt,【武汉：目前最艰巨任务是不让重症病人转为危重症｜昨日新增确诊111例，死亡24例，仍有重症6020例】昨天下午，快报记者采访了在武汉前线的浙江省人民医院葛明华院长，他说，重症、危重症病例减少趋势放缓，但剩下来的重症、危重症患者，治疗难度不一定比原来大，我们接管病区以来已经出院了9个。浙人医感染病科副主任黄海军主任医师此次也随医疗队来到中南医院，并被任命为接管病区主任。他认为，当下最主要的，是不能让重症病人转化为危重症。武汉：目前最艰巨任务是不让重症病人转为危重症｜昨日新增确诊111例，死亡24例，仍有重症6020例            [组图共2张]    原图                            ,"http://ww4.sinaimg.cn/large/6e1fdf79ly1gcghhstxgkj20k00dc13d.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gcghhsx0qxj20k00dctkj.jpg",无,无,2020-03-03 09:31,微博 weibo.com,15,4,5
IwRq2yhVR,【浙江省昨日新增新冠肺炎确诊病例7例，均为境外输入病例】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。浙江新增境外输入性确诊病例7例，均为丽水市青田县报告的意大利输入病例｜本地无新增 原图,http://wx3.sinaimg.cn/large/6e1fdf79ly1gcggvmg9f0j20jy08e45w.jpg,无,无,2020-03-03 09:09,微博 weibo.com,50,13,32
IwNREbcbn,【C罗陷入新冠肺炎风波？朋友圈疯传的这条消息是假的】昨天，一篇名为《C罗送医！尤文图斯全队隔离》的文章在朋友圈疯传。早前，意丙球队皮阿尼斯已有4名球员在新冠病毒检测中呈阳性，此外，他们一周前刚刚客场挑战尤文图斯U23。昨晚，@虎扑足球 辟谣，“C罗送医，尤文图斯全队隔离”为假新闻。据@中国体育，尤文图斯副主席也正式回应：目前队内没有人感染！C罗陷入新冠肺炎风波？朋友圈疯传的这条消息是假的            [组图共4张]    原图                            ,"http://ww4.sinaimg.cn/large/6e1fdf79ly1gcg16j99yjj209w07o74c.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gcg16jbfnwj20bc0k5jsh.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gcg16jcu6cj20j81bn78a.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcg16jb44sj20gc0cdab0.jpg",无,无,2020-03-03 00:06,专业版微博,13,7,10
IwNLPnBT6,【迫在眉睫的初三体育中考怎么办？杭州市教育部门最新回应】一个多月没下水，运动场没开放，迫在眉睫的初三体育中考怎么办？有网友建议取消体育中考。杭州教育局回复：将根据疫情的发展，上级教育行政部门的意见，以及中考是否推迟等多方面因素来综合考虑。杭州教育考试院相关工作人员说，包括体育中考在内的中考时间，都是依据高考时间变化的情况来定。一般来说，要等开学之后学生到校，才能确定时间如何安排。一个多月没下水，运动场没开放，迫在眉睫的初三体育中考怎么办？！杭州市教育部门最新回应            [组图共3张]    原图                            ,"http://ww4.sinaimg.cn/large/6e1fdf79ly1gcg0rqdxg8j20hs0a0wfo.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcg0rqctrjj20hs098t9f.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcg0rqd7lpj20k006m0t2.jpg",无,无,2020-03-02 23:52,专业版微博,310,9,42
IwNAzFnk6,【跑步机至少要隔一台才能用，健完身后要回家洗澡，杭州第一家健身房今天恢复营业】今天中午，舒适堡健身西湖文化广场店和西溪首座店“开门接客”。提前预约的消费者在出示杭州健康码，测温后才能进入健身房。跑步机至少要隔一台才能使用，健身房不开中央空调，消费者需健完身后回家洗澡。一天下来，每家门店的健身者累计10多人。后天，舒适堡的西湖银泰店也会开放，同样需要预约健身。杭州第一家健身房今天恢复营业了 跑步机至少要隔一台才能用            [组图共5张]    原图                            ,"http://ww4.sinaimg.cn/large/6e1fdf79ly1gcfzyng0w9j20k00f00u7.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcfzynggqxj20m80godi7.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gcfzyngjdwj20m80gotb2.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcfzyngbbbj20k00d8wfj.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gcfzynhbf0j20k00qojuk.jpg",无,无,2020-03-02 23:24,专业版微博,27,9,13
IwNrJwF6v,【你家娃在家上网课，他直接住进班主任家！妈妈驰援武汉防疫一线，杭州这位班主任主动接活】杭州景成实验学校楼宇灏的妈妈是省人民医院的医护人员，作为第五批医疗队成员驰援武汉，爸爸工作特别忙。小楼的班主任袁老师觉得很心疼，就把小楼接到自己家。她给小楼制定严格的学习计划，每天想方设法给他做好吃的。现在，小楼已经在袁老师家住了一个多星期了。小楼说：以后有机会我还想来。你家娃在家上网课，他直接住进班主任家！妈妈驰援武汉防疫一线，杭州这位班主任主动接活            [组图共2张]    原图                            ,"http://ww1.sinaimg.cn/large/6e1fdf79ly1gcfzbx1cx0j20k00f0myp.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gcfzbx1qf1j20k00f0jt2.jpg",无,无,2020-03-02 23:02,专业版微博,336,17,43
IwN9F54Ly,【今夜起到3月15日，杭州全城亮屏，致敬白衣战士！】今晚6点起到3月15日，杭州全市户外LED大屏和钱塘江两岸户外媒体墙集体亮屏，致敬每一位白衣战士，致敬每一位最美逆行者。震撼！今夜起，杭州全城亮屏向白衣战士致敬！ [组图共6张]原图,"http://ww2.sinaimg.cn/large/6e1fdf79ly1gcfy1rjf3mg20hr0bu16y.gif,http://ww3.sinaimg.cn/large/6e1fdf79ly1gcfy1rn603g20hr0buk6e.gif,http://ww1.sinaimg.cn/large/6e1fdf79ly1gcfy1rnrx7g20hr0buk80.gif,http://ww4.sinaimg.cn/large/6e1fdf79ly1gcfy1r6ajaj20u00mi41n.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gcfy1rlyy2g20hr0buaol.gif,http://ww2.sinaimg.cn/large/6e1fdf79ly1gcfy1rirkoj20u00k0q5o.jpg",无,无,2020-03-02 22:18,专业版微博,213,49,32
IwN1vu1kA,【宁波实施双职工子女看护补贴政策：每户补助500元】宁波实施双职工子女看护补贴政策，对满足条件的家庭给予一次性500元的补助。能享受该补贴的家庭需满足以下2个条件：一是父母均在宁波的非公企业工作，并且都已经上班了；二是孩子也在宁波读书，但是所在的小学、幼儿园或托育机构因为疫情影响还没有开学。宁波实施双职工子女看护补贴政策：每户补助500元                原图                            ,http://wx2.sinaimg.cn/large/6e1fdf79ly1gcfxgy30srj20k008kjwq.jpg,无,无,2020-03-02 21:58,专业版微博,33,10,27
